No.;Time;Source;Destination;Protocol;Length;Info;;;time 1;time 2;Delay;Delay 1;Delay 2;jitter 
8;0.260205;192.168.1.7;40.126.16.166;TCP;66;62859  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1;;;0.260205;0.345624;0.085419;0.08522;0.000199;-0.085021
9;0.345624;40.126.16.166;192.168.1.7;TCP;66;443  >  62859 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1440 WS=256 SACK_PERM=1;;;0.345624;0.345823;0.000199;-0.001899;0.002098;0.003997
10;0.345823;192.168.1.7;40.126.16.166;TCP;54;62859  >  443 [ACK] Seq=1 Ack=1 Win=66048 Len=0;;;0.345823;0.347921;0.002098;-0.061215;0.063313;0.124528
11;0.347921;192.168.1.7;40.126.16.166;TLSv1.2;342;Client Hello;;;0.347921;0.411234;0.063313;0.040532;0.022781;-0.017751
12;0.411234;192.168.1.7;35.197.154.200;TCP;55;62843  >  443 [ACK] Seq=1 Ack=1 Win=260 Len=1 [TCP segment of a reassembled PDU];;;0.411234;0.434015;0.022781;0.021789;0.000992;-0.020797
13;0.434015;35.197.154.200;192.168.1.7;TCP;66;443  >  62843 [ACK] Seq=1 Ack=2 Win=139 Len=0 SLE=1 SRE=2;;;0.434015;0.435007;0.000992;0.000702;0.00029;-0.000412
14;0.435007;40.126.16.166;192.168.1.7;TCP;1506;443  >  62859 [ACK] Seq=1 Ack=289 Win=16776192 Len=1452 [TCP segment of a reassembled PDU];;;0.435007;0.435297;0.00029;0.000235;5.5E-05;-0.00018
15;0.435297;40.126.16.166;192.168.1.7;TCP;1506;443  >  62859 [ACK] Seq=1453 Ack=289 Win=16776192 Len=1452 [TCP segment of a reassembled PDU];;;0.435297;0.435352;5.5E-05;-0.00022;0.000275;0.000495
16;0.435352;192.168.1.7;40.126.16.166;TCP;54;62859  >  443 [ACK] Seq=289 Ack=2905 Win=66048 Len=0;;;0.435352;0.435627;0.000275;-4E-06;0.000279;0.000283
17;0.435627;40.126.16.166;192.168.1.7;TCP;1506;443  >  62859 [ACK] Seq=2905 Ack=289 Win=16776192 Len=1452 [TCP segment of a reassembled PDU];;;0.435627;0.435906;0.000279;0.000227;5.2E-05;-0.000175
18;0.435906;40.126.16.166;192.168.1.7;TCP;1506;443  >  62859 [ACK] Seq=4357 Ack=289 Win=16776192 Len=1452 [TCP segment of a reassembled PDU];;;0.435906;0.435958;5.2E-05;-2.8E-05;8E-05;0.000108
19;0.435958;192.168.1.7;40.126.16.166;TCP;54;62859  >  443 [ACK] Seq=289 Ack=5809 Win=66048 Len=0;;;0.435958;0.436038;8E-05;-0.006503;0.006583;0.013086
20;0.436038;40.126.16.166;192.168.1.7;TLSv1.2;706;Server Hello, Certificate, Certificate Status, Server Key Exchange, Server Hello Done;;;0.436038;0.442621;0.006583;-0.087309;0.093892;0.181201
21;0.442621;192.168.1.7;40.126.16.166;TLSv1.2;212;Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message;;;0.442621;0.536513;0.093892;0.093043;0.000849;-0.092194
26;0.536513;40.126.16.166;192.168.1.7;TLSv1.2;105;Change Cipher Spec, Encrypted Handshake Message;;;0.536513;0.537362;0.000849;0.00071;0.000139;-0.000571
27;0.537362;192.168.1.7;40.126.16.166;TLSv1.2;344;Application Data;;;0.537362;0.537501;0.000139;0.000139;0;-0.000139
28;0.537501;192.168.1.7;40.126.16.166;TCP;1494;62859  >  443 [ACK] Seq=737 Ack=6512 Win=65536 Len=1440 [TCP segment of a reassembled PDU];;;0.537501;0.537501;0;0;0;0
29;0.537501;192.168.1.7;40.126.16.166;TCP;1494;62859  >  443 [ACK] Seq=2177 Ack=6512 Win=65536 Len=1440 [TCP segment of a reassembled PDU];;;0.537501;0.537501;0;0;0;0
